provincia,id,localidad,cp,id_prov_mstr
Buenos Aires,4742,COLONIA VELEZ,2933,6
Buenos Aires,2759,SPURR,8103,6
Buenos Aires,3589,SPERONI,7163,6
Buenos Aires,3798,SPERATTI,1741,6
Buenos Aires,16595,SOURIGUES,1885,6
Buenos Aires,4665,SOLIS,2764,6
Buenos Aires,2674,SOLANET,7151,6
Buenos Aires,3620,SOLALE,6064,6
Buenos Aires,4154,SOL DE MAYO,7243,6
Buenos Aires,4588,SOL DE MAYO,2709,6
Buenos Aires,2976,SMITH,6531,6
Buenos Aires,4259,SIERRAS BAYAS,7403,6
Buenos Aires,4508,SIERRA DE LOS PADRES,7601,6
Buenos Aires,4849,SIERRA DE LA VENTANA,8168,6
Buenos Aires,4258,SIERRA CHICA,7401,6
Buenos Aires,4083,SIEMPRE VERDE,7609,6
Buenos Aires,2708,SHAW,7316,6
Buenos Aires,3218,SEVIGNE,7101,6
Buenos Aires,4117,SEMINARIO PIO XII,6600,6
Buenos Aires,3949,SEGUROLA,7119,6
Buenos Aires,3808,SAUZALES,6030,6
Buenos Aires,18309,SAUCE GRANDE,8150,6
Buenos Aires,18272,SAUCE CORTO,7540,6
Buenos Aires,2758,SAUCE CHICO,8105,6
Buenos Aires,3674,SATURNO,6417,6
Buenos Aires,3115,SARASA,2721,6
Buenos Aires,2461,SARANDI,1872,6
Buenos Aires,2530,SANTOS UNZUE,6507,6
Buenos Aires,16492,SANTOS LUGARES,1676,6
Buenos Aires,2975,SANTO TOMAS CHICO,6538,6
Buenos Aires,3168,STEGMANN,7536,6
Buenos Aires,2974,SANTO TOMAS,6530,6
Buenos Aires,3036,STROEDER,8508,6
Buenos Aires,4778,SUIPACHA,6612,6
Buenos Aires,4899,TRES ARROYOS,7500,6
Buenos Aires,2997,TRES ALGARROBOS,6231,6
Buenos Aires,4872,TRENQUE LAUQUEN,6400,6
Buenos Aires,16474,TORTUGUITAS,1667,6
Buenos Aires,3904,TORRES,6703,6
Buenos Aires,4400,TORO,1635,6
Buenos Aires,4850,TORNQUIST,8160,6
Buenos Aires,4836,TORDILLO,7101,6
Buenos Aires,4118,TOMAS JOFRE,6601,6
Buenos Aires,4635,TOLDOS VIEJOS,7267,6
Buenos Aires,2818,TODD,2754,6
Buenos Aires,3590,TIO DOMINGO,7163,6
Buenos Aires,2996,TIMOTE,6457,6
Buenos Aires,16539,TIGRE,1648,6
Buenos Aires,2573,THAMES,6343,6
Buenos Aires,3037,TERMAS LOS GAUCHOS,8504,6
Buenos Aires,4974,TENIENTE ORIGONE,8144,6
Buenos Aires,4260,TENIENTE CORONEL MIÑANA,7401,6
Buenos Aires,16451,TEMPERLEY,1834,6
Buenos Aires,3169,TEJO GALETA,7530,6
Buenos Aires,2842,TEDIN URIBURU,7021,6
Buenos Aires,3007,TATAY,6721,6
Buenos Aires,16511,TAPIALES,1770,6
Buenos Aires,4822,TAPALQUE,7303,6
Buenos Aires,16359,TANDIL,7000,6
Buenos Aires,4357,TAMBO NUEVO,2700,6
Buenos Aires,3859,TAMANGUEYU,7633,6
Buenos Aires,4653,TACUARI,2743,6
Buenos Aires,4568,SUNDBLAD,6401,6
Buenos Aires,3903,SUCRE,6708,6
Buenos Aires,4443,TRES CUERVOS,8183,6
Buenos Aires,3948,SANTO DOMINGO,7119,6
Buenos Aires,2491,SANTIAGO GARBARINI,6660,6
Buenos Aires,4567,SANSINENA,6233,6
Buenos Aires,4772,SAN VICENTE,1865,6
Buenos Aires,4081,SAN VALENTIN,7613,6
Buenos Aires,2800,SAN SIMON,7621,6
Buenos Aires,4691,SAN SEVERO,7521,6
Buenos Aires,3107,SAN SEBASTIAN,6623,6
Buenos Aires,4928,SAN ROQUE,6017,6
Buenos Aires,3154,SAN ROMAN,8154,6
Buenos Aires,2707,SAN RAMON DE ANCHORENA,7311,6
Buenos Aires,3153,SAN RAMON,8150,6
Buenos Aires,4870,SAN RAMON,6424,6
Buenos Aires,4354,SAN RAMON,2754,6
Buenos Aires,18267,SAN RAFAEL,7130,6
Buenos Aires,3761,SAN QUILCO,7406,6
Buenos Aires,4758,SAN PEDRO,2930,6
Buenos Aires,3061,SAN PATRICIO,6734,6
Buenos Aires,4802,SAN PASCUAL,7007,6
Buenos Aires,21075,SAN NICOLAS DE LOS ARROYOS,2900,6
Buenos Aires,3858,SAN MIGUEL DEL MORO,7631,6
Buenos Aires,4720,SAN MIGUEL DEL MONTE,7220,6
Buenos Aires,2572,SAN MIGUEL ARCANGEL,8185,6
Buenos Aires,16525,SAN MIGUEL,1663,6
Buenos Aires,4898,SAN MAYOL,7519,6
Buenos Aires,4566,SAN MAURICIO,6239,6
Buenos Aires,4616,SAN MARTIN DE TOURS,8164,6
Buenos Aires,3857,SAN MANUEL,7007,6
Buenos Aires,2673,SAN LAUREANO,7150,6
Buenos Aires,3542,SAN JUSTO,7118,6
Buenos Aires,16509,SAN JUSTO,1754,6
Buenos Aires,3874,SANTA ALICIA,7243,6
Buenos Aires,4601,SANTIAGO LARRE,7245,6
Buenos Aires,4692,SANTA CATALINA,7503,6
Buenos Aires,4292,SANTA CECILIA NORTE,6472,6
Buenos Aires,3184,SANTA TRINIDAD,7541,6
Buenos Aires,4356,SANTA TERESITA PERGAMINO,2701,6
Buenos Aires,3564,SANTA TERESITA,7107,6
Buenos Aires,3563,SANTA TERESA,7163,6
Buenos Aires,4534,SANTA TERESA,2912,6
Buenos Aires,3786,SANTA ROSA DE MINELLONO,7212,6
Buenos Aires,4821,SANTA ROSA,7303,6
Buenos Aires,16580,SANTA ROSA,1888,6
Buenos Aires,2944,SANTA ROSA,1739,6
Buenos Aires,3673,SANTA RITA PDO GUAMINI,6437,6
Buenos Aires,4355,SANTA RITA,2700,6
Buenos Aires,3645,SANTA REGINA,6105,6
Buenos Aires,2973,SANTA MARIA BELLOQ,6535,6
Buenos Aires,3835,SANTA MARIA,6071,6
Buenos Aires,4257,SANTA LUISA,7401,6
Buenos Aires,4759,SANTA LUCIA,2935,6
Buenos Aires,2658,SANTA ISABEL,6550,6
Buenos Aires,2647,SANTA IRENE,7607,6
Buenos Aires,4871,SANTA INES,6471,6
Buenos Aires,2995,SANTA INES,6459,6
Buenos Aires,3875,SANTA FELICIA,7243,6
Buenos Aires,3644,SANTA ELEODORA,6241,6
Buenos Aires,18307,SANTA ELENA,7609,6
Buenos Aires,3772,SANTA ELENA,7414,6
Buenos Aires,3902,SANTA ELENA,6700,6
Buenos Aires,2809,SANTA COLOMA,2761,6
Buenos Aires,3762,SANTA CLEMENTINA,7406,6
Buenos Aires,4082,SANTA CLARA DEL MAR,7609,6
Buenos Aires,4293,SANTA CECILIA SUD,6450,6
Buenos Aires,4291,SANTA CECILIA CENTRO,6463,6
Buenos Aires,2574,TRES LAGUNAS,6443,6
Buenos Aires,3219,TRES LEGUAS,7100,6
Buenos Aires,16422,TRES LOMAS,6409,6
Buenos Aires,2766,VILLA HERMINIA,8101,6
Buenos Aires,2765,VILLA HARDING GREEN,8101,6
Buenos Aires,4535,VILLA GRAL SAVIO EST SANCHEZ,2912,6
Buenos Aires,4361,VILLA GODOY,2700,6
Buenos Aires,16445,VILLA GOBERNADOR UDAONDO,1713,6
Buenos Aires,3592,VILLA GESELL,7165,6
Buenos Aires,3132,VILLA GENERAL ARIAS,8101,6
Buenos Aires,4808,VILLA GALICIA,7000,6
Buenos Aires,3906,VILLA FRANCIA,6706,6
Buenos Aires,3621,VILLA FRANCIA,6058,6
Buenos Aires,4997,VILLA FOX,2800,6
Buenos Aires,4996,VILLA FLORIDA,2800,6
Buenos Aires,2764,VILLA FLORESTA,8000,6
Buenos Aires,4667,VILLA ESPIL,6712,6
Buenos Aires,16596,VILLA ESPAÑA,1884,6
Buenos Aires,3748,VILLA ELISA,1894,6
Buenos Aires,3038,VILLA ELENA,8512,6
Buenos Aires,4807,VILLA DUFAU,7000,6
Buenos Aires,2462,VILLA DOMINICO,1874,6
Buenos Aires,2763,VILLA DOMINGO PRONSATO,8000,6
Buenos Aires,4177,VILLA DIAZ VELEZ,7630,6
Buenos Aires,2532,VILLA DIAMANTINA,6500,6
Buenos Aires,4760,VILLA DEPIETRI,2930,6
Buenos Aires,4929,VILLA DELFINA,8000,6
Buenos Aires,3131,VILLA DEL MAR,8109,6
Buenos Aires,16475,VILLA DE MAYO,1614,6
Buenos Aires,4806,VILLA DAZA,7000,6
Buenos Aires,4360,VILLA DA FONTE,2718,6
Buenos Aires,2648,VILLA COPACABANA,7607,6
Buenos Aires,18271,VILLA IGOLLO,2930,6
Buenos Aires,3565,VILLA CLELIA,7109,6
Buenos Aires,4445,VILLA IRIS,8126,6
Buenos Aires,2767,VILLA ITALIA,8000,6
Buenos Aires,3700,VILLA ORTEGA,6000,6
Buenos Aires,2773,VILLA OLGA GRUMBEIN,8000,6
Buenos Aires,2772,VILLA OBRERA,8000,6
Buenos Aires,24842,VILLA NUMANCIA,1858,6
Buenos Aires,2771,VILLA NOCITO,8000,6
Buenos Aires,4999,VILLA MOSCONI,2800,6
Buenos Aires,3108,VILLA MOQUEHUA,6625,6
Buenos Aires,4262,VILLA MONICA,7318,6
Buenos Aires,2770,VILLA MITRE,8000,6
Buenos Aires,2567,VILLA MAZA,6343,6
Buenos Aires,3699,VILLA MAYOR,6000,6
Buenos Aires,4998,VILLA MASSONI,2800,6
Buenos Aires,21729,VILLA MARTELLI,1603,6
Buenos Aires,2601,VILLA MARIA,6628,6
Buenos Aires,2576,VILLA MARGARITA,8185,6
Buenos Aires,3134,VILLA MAIO,8109,6
Buenos Aires,2874,VILLA LYNCH PUEYRREDON,6553,6
Buenos Aires,16569,VILLA LYNCH,1672,6
Buenos Aires,16513,VILLA LUZURIAGA,1754,6
Buenos Aires,2769,VILLA LORETO,8000,6
Buenos Aires,4552,VILLA LOMA,7203,6
Buenos Aires,2768,VILLA LIBRE,8000,6
Buenos Aires,4678,VILLA LIA,2761,6
Buenos Aires,4761,VILLA LEANDRA,2946,6
Buenos Aires,18256,VILLA LAZA,7000,6
Buenos Aires,3133,VILLA LAURA,8109,6
Buenos Aires,16554,VILLA LA FLORIDA,1881,6
