provincia,id,localidad,cp,id_prov_mstr
Chaco,11317,LA POBLADORA,3703,22
Chaco,11334,LA ÑATA,3540,22
Chaco,18874,LA NEGRA,3513,22
Chaco,11335,LA NUEVA,3540,22
Chaco,11336,LA OFELIA,3540,22
Chaco,11387,LA PALOMETA,3505,22
Chaco,17675,LA PINTA,3714,22
Chaco,11418,LA PASTORIL,3515,22
Chaco,11082,LA PILAR,3505,22
Chaco,18551,LA MORA,3705,22
Chaco,17670,LA PALOMA,3714,22
Chaco,18550,LA MEDIA LUNA,3705,22
Chaco,11386,LA LIGURIA,3501,22
Chaco,11363,LA MATANZA,3531,22
Chaco,11266,LA MASCOTA,3706,22
Chaco,18990,LA MANUELA,3540,22
Chaco,11159,LA MAGDALENA,3522,22
Chaco,18872,LA LUCINDA,3513,22
Chaco,17272,LA LOMA,3505,22
Chaco,11240,LA LIBERTAD,3705,22
Chaco,11158,LA LEONESA,3518,22
Chaco,11385,LA ISLA,3503,22
Chaco,18549,LA INVERNADA,3705,22
Chaco,18547,LA FLOJERA,3705,22
Chaco,11384,LA GANADERA,3505,22
Chaco,17664,LA ILUSION,3714,22
Chaco,18548,LA GRINGA,3705,22
Chaco,18912,LA MATANZA,3703,22
Chaco,11160,LA POSTA,3524,22
Chaco,11305,LAGUNA BELIGAY,3505,22
Chaco,18876,LA RAQUEL,3513,22
Chaco,19056,LAS CUATRO BOCAS,3701,22
Chaco,17696,LAS CARPAS,3714,22
Chaco,17378,LAS CUCHILLAS,3722,22
Chaco,18777,LA FLECHA,3716,22
Chaco,11123,LAS BREÑAS,3722,22
Chaco,18559,LAS BLANCAS,3705,22
Chaco,11356,LAS BANDERAS,3536,22
Chaco,11163,LAPACHO,3518,22
Chaco,11237,LAPACHITO,3514,22
Chaco,11162,LAGUNA PATOS,3518,22
Chaco,11284,LAGUNA LIMPIA,3515,22
Chaco,11229,LAGUNA ESCONDIDA,3514,22
Chaco,11306,LAGUNA BLANCA,3514,22
Chaco,18556,LA ZANJA,3705,22
Chaco,18993,LA VIRUELA,3540,22
Chaco,11428,LA VICUÑA,3513,22
Chaco,11236,LA VERDE,3514,22
Chaco,17692,LA TRANQUILIDAD,3714,22
