provincia,id,localidad,cp,id_prov_mstr
Corrientes,9958,ISLA IBATE,3412,18
Corrientes,19760,IBIRA PITA,3470,18
Corrientes,27714,IBIRAY,3414,18
Corrientes,19501,IBIRITANGAY,3302,18
Corrientes,9938,IFRAN,3453,18
Corrientes,17476,IGUATE PORA,3423,18
Corrientes,10073,INDEPENDENCIA,3222,18
Corrientes,10200,INFANTE,3483,18
Corrientes,9813,INGA,3196,18
Corrientes,20446,INVERNADA,3454,18
Corrientes,20134,IPACARAPA,3485,18
Corrientes,9939,ISABEL VICTORIA,3453,18
Corrientes,20149,ISLA ALTA,3448,18
Corrientes,9689,ISLA ALTA,3449,18
Corrientes,9974,ISLA APIPE CHICO,3302,18
Corrientes,10279,ISLA GRANDE,3342,18
Corrientes,19999,ISLA IBATAY,3401,18
Corrientes,19998,INGENIO PRIMER CORRENTINO,3401,18
Corrientes,20207,ISLA SAN MATEO,3340,18
Corrientes,20206,GUAY GRANDE,3340,18
Corrientes,9755,IBAVIYU,3466,18
Corrientes,17344,GARRIDO CUE,3416,18
Corrientes,10275,GARRUCHOS,3351,18
Corrientes,19361,ISLA SOLA,3450,18
Corrientes,20038,GDOR JUAN EUSEBIO TORRENT,3403,18
Corrientes,19259,GENERAL PAZ,3407,18
Corrientes,9996,GOBERNADOR JUAN E MARTINEZ,3445,18
Corrientes,20205,GOBERNADOR RUIZ,3340,18
Corrientes,10276,GOBERNADOR VIRASORO,3342,18
Corrientes,10278,IBERA,3342,18
Corrientes,10277,GOMEZ CUE,3340,18
Corrientes,19358,GRANJA AMELIA,3450,18
Corrientes,10188,GUAVIRAVI,3232,18
Corrientes,17735,GUAYCURU,3465,18
Corrientes,9812,GUAYQUIRARO,3194,18
Corrientes,9957,GUAYU,3412,18
Corrientes,19938,GUAZU CORA,3420,18
Corrientes,10181,HERLITZKA,3403,18
Corrientes,9908,IBAHAY,3480,18
Corrientes,9937,GOYA,3450,18
Corrientes,17263,ISLA TACUARA,3481,18
Corrientes,19262,KILOMETRO 151,3405,18
Corrientes,10037,ITA CORA,3470,18
Corrientes,10112,KILOMETRO 204,3232,18
Corrientes,10113,KILOMETRO 235,3234,18
Corrientes,10040,KILOMETRO 261,3476,18
Corrientes,10114,KILOMETRO 268,3230,18
Corrientes,19769,KILOMETRO 287 FCGU,3470,18
Corrientes,19772,KILOMETRO 296,3470,18
Corrientes,20039,KILOMETRO 31,3403,18
Corrientes,10238,KILOMETRO 374,3446,18
Corrientes,10081,KILOMETRO 182,3224,18
Corrientes,20150,KILOMETRO 382,3448,18
Corrientes,9872,KILOMETRO 393,3344,18
Corrientes,9873,KILOMETRO 394,3344,18
Corrientes,9874,KILOMETRO 396,3344,18
Corrientes,17126,KILOMETRO 402,3448,18
Corrientes,9756,KILOMETRO 405,3460,18
Corrientes,10157,KILOMETRO 406,3420,18
Corrientes,20037,GARRIDO,3403,18
Corrientes,19653,KILOMETRO 410,3445,18
Corrientes,10239,KILOMETRO 387,3446,18
Corrientes,10080,KILOMETRO 173,3220,18
Corrientes,10079,KILOMETRO 167,3220,18
Corrientes,10077,KILOMETRO 148,3405,18
Corrientes,20210,ITA CUA,3340,18
Corrientes,19363,ITA CURUBI,3450,18
Corrientes,9909,ITA IBATE,3480,18
Corrientes,27568,ITA PASO,3483,18
Corrientes,10038,ITA PUCU,3470,18
Corrientes,9959,ITATI,3414,18
Corrientes,10039,ITATI RINCON,3470,18
Corrientes,9975,ITUZAINGO,3302,18
Corrientes,19940,JARDIN FLORIDO,3420,18
Corrientes,9814,JESUS MARIA,3196,18
Corrientes,10269,JOSE RAFAEL GOMEZ,3342,18
Corrientes,27712,JUAN DIAZ,3449,18
Corrientes,10074,JUAN PUJOL,3222,18
Corrientes,20000,JUAN RAMON VIDAL,3401,18
Corrientes,19764,JUSTINO SOLARI,3476,18
Corrientes,10075,KILOMETRO 104,3226,18
