provincia,id,localidad,cp,id_prov_mstr
Entre Rios,19036,PUERTO MARQUEZ,3190,30
Entre Rios,18610,PUERTO BARRILES,2840,30
Entre Rios,8899,PUERTO RUIZ,2840,30
Entre Rios,19288,PUERTO CADENAS,3192,30
Entre Rios,20389,PUERTO CAMPINCHUELO,3261,30
Entre Rios,17578,PUERTO COLORADO,3280,30
Entre Rios,8979,PUERTO CONSTANZA,2846,30
Entre Rios,9135,PUERTO CURTIEMBRE,3113,30
Entre Rios,20531,PUERTO ESQUINA,3155,30
Entre Rios,17574,PUERTO ALMIRON,3281,30
Entre Rios,19294,PUERTO LA ESMERALDA,3190,30
Entre Rios,18342,PUERTO LAS CUEVAS,3101,30
Entre Rios,20535,PUERTO LOPEZ,3101,30
Entre Rios,8962,PUERTO PERAZZO,2846,30
Entre Rios,18341,PUERTO DIAMANTE,3105,30
Entre Rios,19023,PUERTO IBICUY,2846,30
Entre Rios,9250,PUENTE VICTORIA,3153,30
Entre Rios,19280,PUERTO ALGARROBO,3127,30
Entre Rios,9134,PUEBLO MORENO,3122,30
Entre Rios,8960,PUEBLO NUEVO,2820,30
Entre Rios,8963,PUERTO SAN JUAN,2846,30
Entre Rios,20383,PUEBLO NUEVO,3170,30
Entre Rios,27762,PUEBLO PRIMERO,3174,30
Entre Rios,19985,PUENTE CARMONA,3118,30
Entre Rios,17569,PUENTE DE GUALEGUAYCHU,3265,30
Entre Rios,18336,PUENTE DE LAS PENCAS,3101,30
Entre Rios,20675,PUENTE DE LUCAS,3216,30
Entre Rios,19988,PUENTE DEL CHAÑAR,3111,30
Entre Rios,18906,PUENTE ÑANCAY,2823,30
Entre Rios,20100,PUENTE OBISPO,3174,30
Entre Rios,8961,PUENTE PARANACITO,2823,30
Entre Rios,18608,PUENTE PELLEGRINI,2840,30
Entre Rios,8898,PUERTA DE CRESPO,3155,30
Entre Rios,18424,PUERTO ALGARROBO,3206,30
Entre Rios,18339,PUENTE DEL DOLL,3101,30
Entre Rios,20676,RACHEL,3246,30
Entre Rios,19989,PUERTO VIBORAS,3129,30
Entre Rios,9295,RINCON DE MOJONES,3241,30
Entre Rios,20541,RINCON DE NOGOYA,3155,30
Entre Rios,18918,RINCON DEL CINTO,2826,30
Entre Rios,9252,RINCON DEL DOLL,3101,30
Entre Rios,8965,RINCON DEL GATO,2821,30
Entre Rios,18620,RINCON DEL NOGOYA SUR,2840,30
Entre Rios,20679,RINCON LUCAS NORTE,3241,30
Entre Rios,20680,RINCON LUCAS SUD,3241,30
Entre Rios,18648,RIO AGUILA,2805,30
Entre Rios,18930,RIO ALFEREZ NELSON PAGE,2805,30
Entre Rios,18931,RIO CEIBO,2805,30
Entre Rios,18938,RIO PARANA GUAZU,2805,30
Entre Rios,18878,RIO PASAJE AL AGUILA,2805,30
Entre Rios,8689,PUEBLO LIEBIG,3281,30
Entre Rios,18941,RIO SAUCE,2805,30
Entre Rios,20126,RINCON DE LAS GUACHAS,3174,30
Entre Rios,9138,RAMON A PARERA,3118,30
Entre Rios,9137,RAMBLON,3109,30
Entre Rios,9294,RAICES OESTE,3241,30
Entre Rios,19991,PUERTO VIEJO,3100,30
Entre Rios,20393,PUERTO VIEJO,3260,30
Entre Rios,19994,PUERTO VILLARRUEL,3127,30
Entre Rios,8761,PUERTO YERUA,3201,30
Entre Rios,19301,PUERTO YUNQUE,3190,30
Entre Rios,8900,PUNTA DEL MONTE,2840,30
Entre Rios,18159,PUNTAS DE MOREIRA,3181,30
Entre Rios,8964,PUERTO UNZUE,2820,30
Entre Rios,8690,PUNTAS DEL GUALEGUAYCHU,3269,30
Entre Rios,20538,QUEBRACHITOS,3153,30
Entre Rios,19997,QUEBRACHO,3109,30
Entre Rios,18161,QUEBRACHO,3212,30
Entre Rios,9136,QUINTAS AL SUD,3100,30
Entre Rios,9251,QUINTO CUARTEL VICTORIA,3153,30
Entre Rios,8901,QUINTO DISTRITO,2843,30
Entre Rios,8797,RACEDO,3114,30
Entre Rios,8691,PUNTAS DEL PALMAR,3280,30
Entre Rios,9133,PUEBLO GENERAL PAZ,3123,30
Entre Rios,19972,PASO DE LAS PIEDRAS,3118,30
Entre Rios,8760,PUEBLO FERRE,3216,30
Entre Rios,8953,PALAVECINO,2820,30
Entre Rios,8683,PALMAR,3285,30
Entre Rios,8684,PALMAR YATAY,3287,30
Entre Rios,8872,PALO A PIQUE,3191,30
Entre Rios,9128,PARACAO,3100,30
Entre Rios,8757,PARADA YUQUERI,3214,30
Entre Rios,9293,PARAJE GUAYABO,3240,30
Entre Rios,18853,PARAJE PALAVEROI,2805,30
Entre Rios,9129,PARANA,3100,30
Entre Rios,8954,PARANA BRAVO,2805,30
Entre Rios,8978,PARANACITO,2846,30
Entre Rios,17550,PARQUE NACIONAL EL PALMAR,3280,30
Entre Rios,18883,PASAJE TALAVERA,2804,30
Entre Rios,19966,PASO DE LA ARENA,3118,30
Entre Rios,19970,PASO DE LA BALZA,3113,30
Entre Rios,9223,PALACIO SAN JOSE,3262,30
Entre Rios,20672,PASO DE LA LAGUNA,3241,30
Entre Rios,9248,PAJONAL,3101,30
Entre Rios,8795,PAJA BRAVA,3101,30
Entre Rios,18947,RIO TALAVERA,2805,30
Entre Rios,9024,MONTIEL,3191,30
Entre Rios,9068,MONTOYA,3150,30
Entre Rios,9247,MONTOYA,3151,30
Entre Rios,9126,MORENO,3122,30
Entre Rios,27839,MULAS GRANDES,3187,30
Entre Rios,8952,ÑANDUBAYSAL,2821,30
Entre Rios,9222,NICOLAS HERRERA,3272,30
Entre Rios,9069,NOGOYA,3150,30
Entre Rios,20362,NOVIBUCO PRIMERO,3170,30
Entre Rios,8755,NUEVA ESCOCIA,3201,30
Entre Rios,18422,NUEVA VIZCAYA,3212,30
Entre Rios,9025,OMBU,3190,30
Entre Rios,9127,ORO VERDE,3100,30
Entre Rios,8756,OSVALDO MAGNASCO,3212,30
Entre Rios,8871,PAJAS BLANCAS,3187,30
Entre Rios,20673,PASO DE LA LEGUA,3240,30
Entre Rios,20525,PASO DEL ABRA,3153,30
Entre Rios,8955,PASO DEL CISNERO,2846,30
Entre Rios,9027,PILOTO AVILA,3190,30
Entre Rios,8686,POS POS,3285,30
Entre Rios,9028,PRIMER CONGRESO,3142,30
Entre Rios,20099,PRIMER CUARTEL,3174,30
Entre Rios,18578,PRIMER DISTRITO,2840,30
Entre Rios,9225,PRONUNCIAMIENTO,3263,30
Entre Rios,9070,PUEBLITO,3164,30
Entre Rios,9249,PUEBLITO NORTE,3155,30
Entre Rios,8983,PUEBLO ARRUA EST ALCARAZ,3138,30
Entre Rios,9131,PUEBLO BELLOCQ,3136,30
Entre Rios,9132,PUEBLO BRUGO,3125,30
Entre Rios,8687,PUEBLO CAZES,3269,30
Entre Rios,8688,PUEBLO COLORADO,3281,30
