provincia,id,localidad,cp,id_prov_mstr
Formosa,22918,TATU PIRE,3630,34
Formosa,23294,TRES LAGUNAS,3620,34
Formosa,8607,TRES LAGUNAS,3611,34
Formosa,22401,TRES LAGUNAS,3601,34
Formosa,8557,TRANSITO CUE,3626,34
Formosa,8606,TORO PASO,3611,34
Formosa,8556,TOMAS GODOY CRUZ,3630,34
Formosa,22178,TIMBO PORA,3600,34
Formosa,8555,TENIENTE BROWN,3622,34
Formosa,8554,TATANE,3601,34
Formosa,8581,SOLDADO HERIBERTO AVALOS,3615,34
Formosa,8553,SUIPACHA,3630,34
Formosa,8582,SUBTTE RICARDO E MASAFERRO,3615,34
Formosa,8552,SUBTENIENTE PERIN,3624,34
Formosa,8646,SOMBRERO NEGRO,3636,34
Formosa,8638,SOLDADO TOMAS SANCHEZ,3601,34
Formosa,8551,SOLDADO RAMON A ARRIETA,3620,34
Formosa,8401,SOLDADO MARCELINO TORALES,3630,34
Formosa,8550,SOLDADO ISMAEL SANCHEZ,3624,34
Formosa,22179,TRES MARIAS,3600,34
Formosa,8402,SUMAYEN,3634,34
Formosa,8450,TRES MOJONES,3601,34
Formosa,23968,ZORRILLA CUE,3606,34
Formosa,8559,TRES POZOS,3626,34
Formosa,8549,SOLDADO ERMINDO LUNA,3630,34
Formosa,23965,YUNCA,3620,34
Formosa,23532,VIRASOL,3610,34
Formosa,8584,VILLA REAL,3615,34
Formosa,23963,VILLA MERCEDES,3624,34
Formosa,8609,VILLA LUCERO,3611,34
Formosa,23297,VILLA HERMOSA,3615,34
Formosa,8563,VILLA GRAL MANUEL BELGRANO,3615,34
Formosa,8564,VILLA GENERAL URQUIZA,3628,34
Formosa,8562,VILLA GENERAL GUEMES,3621,34
Formosa,8452,VILLA ESCOLAR,3526,34
Formosa,22181,VILLA EMILIA,3600,34
Formosa,16417,VILLA DOS TRECE,3603,34
Formosa,8561,VILLA ADELAIDA,3624,34
Formosa,22072,VACA PERDIDA,3636,34
Formosa,8560,URBANA VIEJA,3621,34
Formosa,22557,TTE GRAL ROSENDO N FRA,3636,34
Formosa,23530,TTE GRAL JUAN C SANCHEZ,3611,34
Formosa,22069,TTE CNEL GASPAR CAMPOS,3630,34
Formosa,23296,TTE CNEL GASPAR CAMPOS,3615,34
Formosa,22066,TRES POZOS,3634,34
Formosa,8451,TRES POCITOS,3601,34
Formosa,22402,SOLDADO EDMUNDO SOSA,3603,34
Formosa,8536,POZO DE LAS GARZAS,3630,34
Formosa,8547,SOLDADO ALBERTO VILLALBA,3636,34
Formosa,17835,EL MARCADO,3634,34
Formosa,22810,EL MIRADOR,3630,34
Formosa,22542,EL MISTOLAR,3636,34
Formosa,17840,EL MOJON,3634,34
Formosa,22814,EL ÑANDU,3608,34
Formosa,8501,EL OCULTO,3624,34
Formosa,8427,EL OLVIDO,3601,34
Formosa,8428,EL OMBU,3601,34
Formosa,23874,EL PALMAR,3606,34
Formosa,17842,EL PALO SANTO,3634,34
Formosa,8589,EL PARAISO,3610,34
Formosa,17845,EL PARAISO,3634,34
Formosa,22815,EL PERDIDO,3630,34
Formosa,17848,EL PILON,3634,34
