provincia,id,localidad,cp,id_prov_mstr
Jujuy,23734,SANTILLO,4512,38
Jujuy,13144,SANTO DOMINGO,4608,38
Jujuy,23735,SAUZAL,4501,38
Jujuy,16639,SANTUYOC,4616,38
Jujuy,13089,SANTUARIO,4640,38
Jujuy,24077,SANTA ROSA VALLE GRANDE,4618,38
Jujuy,13091,TABLADITAS,4640,38
Jujuy,23521,SANTA RITA,4608,38
Jujuy,23918,SANTA RITA,4501,38
Jujuy,24076,SANTA CLARA,4513,38
Jujuy,13270,SANTA CLARA,4501,38
Jujuy,23738,SAUZALITO,4512,38
Jujuy,13288,SANTA CATALINA,4655,38
Jujuy,24060,SANTA ROSA TUMBAYA,4618,38
Jujuy,13090,SAYATE,4640,38
Jujuy,13299,SUSQUES,4641,38
Jujuy,23739,SEPULTURA,4512,38
Jujuy,13298,SEY,4411,38
Jujuy,16629,SIBERIA,4506,38
Jujuy,13271,SIETE AGUAS,4501,38
Jujuy,23967,SIJES,4641,38
Jujuy,23741,SOCABON,4512,38
Jujuy,23742,SOLEDAD,4512,38
Jujuy,24078,SOLEDAD,4631,38
Jujuy,23483,SORCUYO,4640,38
Jujuy,23969,SOYSOLAYTE,4643,38
Jujuy,13372,SURIPUJIO,4651,38
Jujuy,24061,SUSUYACO,4618,38
Jujuy,13349,SANTA BARBARA,4513,38
Jujuy,13172,SENADOR PEREZ,4626,38
Jujuy,13088,SANTA ANA DE LA PUNA,4641,38
Jujuy,13286,SAN FRANCISCO,4655,38
Jujuy,13371,SANSANA,4650,38
Jujuy,24079,TABLON,4631,38
Jujuy,13334,SAN BERNARDO,4618,38
Jujuy,13346,SAN FRANCISCO,4512,38
Jujuy,13086,SAN FRANCISCO DE ALFARCITO,4641,38
Jujuy,23514,SAN GABRIEL,4608,38
Jujuy,24059,SAN JAVIER,4618,38
Jujuy,13312,SAN JOSE,4626,38
Jujuy,23756,SAN JOSE DE LA RINCONADA,4643,38
Jujuy,16617,SAN JOSE DE MIRAFLORES,4640,38
Jujuy,13250,SAN JOSE DEL BORDO,4500,38
Jujuy,13335,SAN JOSE DEL CHAÑI,4618,38
Jujuy,13226,SAN JUAN,4643,38
Jujuy,23944,SAN JUAN,4655,38
Jujuy,13251,SAN JUAN DE DIOS,4501,38
Jujuy,13348,SANTA ANA,4631,38
Jujuy,23946,SAN JUAN DE OROS,4655,38
Jujuy,23517,SAN JUANCITO,4608,38
Jujuy,13287,SAN LEON,4655,38
Jujuy,23732,SAN LORENZO,4514,38
Jujuy,13252,SAN LUCAS,4500,38
Jujuy,13347,SAN LUCAS,4513,38
Jujuy,23436,SAN PABLO DE REYES,4600,38
Jujuy,13313,SAN PEDRITO,4622,38
Jujuy,13227,SAN PEDRO,4500,38
Jujuy,23566,SAN PEDRO DE IRUYA,4633,38
Jujuy,13269,SAN RAFAEL,4501,38
Jujuy,23520,SAN RAFAEL,4608,38
Jujuy,13171,SAN ROQUE,4630,38
Jujuy,13099,SAN SALVADOR DE JUJUY,4600,38
Jujuy,13143,SAN VICENTE,4608,38
Jujuy,13087,SAN JUAN DE QUILLAGUES,4641,38
Jujuy,23985,TACTA,4622,38
Jujuy,23749,YERBA BUENA LEDESMA,4622,38
Jujuy,24062,TALA GRUSA,4618,38
Jujuy,16611,TURU TARI,4640,38
Jujuy,23974,TURU TARI,4641,38
Jujuy,13093,TUSAQUILLAS,4641,38
Jujuy,13175,UQUIA,4626,38
Jujuy,13350,VALLE COLORADO,4631,38
Jujuy,13351,VALLE GRANDE,4513,38
Jujuy,13176,VARAS,4631,38
Jujuy,23525,VENECIAS ARGENTINAS,4608,38
Jujuy,13177,VETA MINA AGUILAR,4634,38
Jujuy,23569,VICUÑAYOC,4634,38
Jujuy,23526,VILLA ARGENTINA,4608,38
Jujuy,13103,VILLA CIUDAD DE NIEVA,4600,38
Jujuy,13293,VILLA CORANZULI,4643,38
Jujuy,13315,VILLA DEL PERCHEL,4626,38
Jujuy,23973,TURILARI,4641,38
Jujuy,13105,VILLA GORRITI,4600,38
Jujuy,13272,VINALITO,4518,38
Jujuy,24082,VIZACACHAL,4631,38
Jujuy,13341,VOLCAN,4616,38
Jujuy,23571,VOLCAN HIGUERA,4633,38
Jujuy,23573,YACORAITE,4634,38
Jujuy,13108,YALA,4616,38
Jujuy,13352,YALA DE MONTE CARMELO,4624,38
Jujuy,13375,YAVI,4651,38
Jujuy,13376,YAVI CHICO,4644,38
Jujuy,23986,YERBA BUENA TILCARA,4622,38
Jujuy,13291,YOSCABA,4653,38
Jujuy,13194,YUTO,4518,38
Jujuy,23438,ZAPLA,4612,38
Jujuy,13235,SAN ANTONIO,4605,38
Jujuy,23426,VILLA JARDIN DE REYES,4600,38
Jujuy,13373,TAFNA,4650,38
Jujuy,13340,TUNALITO,4618,38
Jujuy,13339,TUMBAYA,4618,38
Jujuy,16654,TALAR,4513,38
Jujuy,13092,TAMBILLOS,4641,38
Jujuy,23971,TANQUES,4641,38
Jujuy,23743,TARIJITA,4512,38
Jujuy,13173,TEJADAS,4634,38
Jujuy,13100,TERMAS DE REYES,4600,38
Jujuy,23437,TESORERO,4600,38
Jujuy,13336,TESORERO,4616,38
Jujuy,16610,TEUCO,4641,38
Jujuy,13314,TILCARA,4624,38
Jujuy,13101,TILQUIZA,4600,38
Jujuy,13289,TIMON CRUZ,4655,38
Jujuy,23805,TIO MAYO,4643,38
Jujuy,23947,TIO MAYO,4653,38
Jujuy,24065,TUMBAYA GRANDE,4618,38
Jujuy,13337,TIRAXI,4616,38
Jujuy,23744,TOBA,4606,38
Jujuy,16620,TOBA,4648,38
Jujuy,23972,TOCOL,4643,38
Jujuy,13290,TOQUERO,4653,38
Jujuy,23745,TOQUILLERA,4512,38
Jujuy,24080,TORO MUERTO,4631,38
Jujuy,24063,TOTORITO,4618,38
Jujuy,24081,TRANCAS,4631,38
Jujuy,23747,TREMENTINAL,4512,38
Jujuy,13174,TRES CRUCES,4634,38
Jujuy,13338,TRES MORROS,4618,38
Jujuy,24064,TRIUNVIRATO,4618,38
Jujuy,23748,TUCUMANCITO,4512,38
Jujuy,23485,TUITE,4644,38
Jujuy,16641,TIRAXI CHICO,4616,38
Jujuy,16653,SAN ANTONIO,4513,38
Jujuy,23777,CINCEL,4643,38
Jujuy,23563,SAN ANDRES,4630,38
Jujuy,27529,EL CABRAL,4608,38
Jujuy,13201,EL BRETE,4612,38
Jujuy,23617,EL BANANAL,4512,38
Jujuy,23386,EL ARENAL,4601,38
Jujuy,13253,EL ARENAL,4500,38
Jujuy,13319,EL ANGOSTO,4655,38
Jujuy,13116,EL CADILLAL,4608,38
Jujuy,23385,EL AMANCAY,4600,38
Jujuy,23382,EL ALGARROBAL,4600,38
Jujuy,23614,EL AIBAL,4512,38
Jujuy,13156,EL AGUILAR,4634,38
Jujuy,23824,EL ACHERAL,4500,38
Jujuy,23612,DURAZNAL,4512,38
Jujuy,13070,DONCELLAS,4641,38
Jujuy,13200,EL ALGARROBAL,4612,38
Jujuy,23607,DON JORGE,4512,38
Jujuy,23979,EL CALLEJON,4622,38
Jujuy,13117,EL CARMEN,4603,38
Jujuy,13320,EL MORENO,4618,38
Jujuy,16657,EL MONUMENTO,4650,38
Jujuy,23489,EL MOLLAR,4608,38
Jujuy,24020,EL MOLINO,4618,38
Jujuy,23879,EL MISTOL,4501,38
Jujuy,23621,EL MANANTIAL,4512,38
Jujuy,16624,EL CARDONAL,4506,38
Jujuy,13254,EL FUERTE,4501,38
Jujuy,13202,EL CUCHO,4612,38
Jujuy,23388,EL CUCHO,4600,38
Jujuy,13157,EL CONDOR,4644,38
Jujuy,24019,EL COLORADO,4618,38
Jujuy,27794,EL CHAGUARAL,4500,38
Jujuy,23619,EL CAULARIO,4512,38
Jujuy,13303,EL DURAZNO,4624,38
Jujuy,13155,DOGLONZO,4631,38
Jujuy,13215,CUSI CUSI,4643,38
Jujuy,24018,CRUZ NIDO,4618,38
Jujuy,23445,COCHAGATE,4640,38
Jujuy,13276,CIENEGUILLAS,4653,38
Jujuy,13213,CIENEGO GRANDE,4643,38
Jujuy,24013,CIENAGA GRANDE,4643,38
Jujuy,23604,CIENAGA,4512,38
Jujuy,13152,CIANZO,4630,38
Jujuy,13068,COCHINOCA,4641,38
Jujuy,23380,CHUQUINA,4600,38
Jujuy,13118,CHUCUPAL,4603,38
Jujuy,13151,CHUCALEZNA,4626,38
Jujuy,16644,CHORRO,4513,38
Jujuy,23541,CHORRILLOS,4630,38
Jujuy,13302,CHORRILLOS,4626,38
Jujuy,24012,CHORRILLO,4618,38
Jujuy,23443,CHULIN O INCA NUEVA,4640,38
Jujuy,13153,COCTACA,4631,38
Jujuy,24014,COIRURO,4618,38
Jujuy,16623,COLONIA 8 DE SEPTIEMBRE,4512,38
Jujuy,13214,COYAGUAIMA,4643,38
Jujuy,24017,COSTILLAR,4618,38
