provincia,id,localidad,cp,id_prov_mstr
Mendoza,5669,PORTILLO AGUA DE TORO,5545,50
Mendoza,17863,PORTILLO CANALES,5569,50
Mendoza,17623,PORTEZUELO CHOIQUE,5613,50
Mendoza,18136,PONCE,5594,50
Mendoza,17620,PO DEL HUANACO,5613,50
Mendoza,17622,PO PEHUENCHE,5613,50
Mendoza,19897,PO VALLE HERMOSO,5539,50
Mendoza,17621,PO MALLAN,5613,50
Mendoza,17846,PO MAIPU,5569,50
Mendoza,19893,PO DEL RUBIO,5539,50
Mendoza,17847,PORTILLO CRUZ DE PIEDRA,5569,50
Mendoza,19899,POLVAREDAS,5551,50
Mendoza,17849,PORTILLO DE COLINA,5569,50
Mendoza,20644,PORTILLO DEL DIABLO,5560,50
Mendoza,17852,PORTILLO DE LA G  DEL CAMINO,5569,50
Mendoza,19907,PORTILLO DE LA LAGRIMA VIVA,5539,50
Mendoza,20557,PORTILLO DEL VIENTO,5569,50
Mendoza,20554,PORTILLO DE LA YESERA,5569,50
Mendoza,20555,PORTILLO DE LAS CABEZAS,5569,50
Mendoza,19909,PORTILLO DE LAS VACAS,5539,50
Mendoza,19901,PORTILLO DE LOMAS COLORADAS,5539,50
Mendoza,20643,PORTILLO DE PINQUENES,5560,50
Mendoza,19912,PORTILLO DEL TIGRE,5539,50
Mendoza,19910,PORTILLO DEL MEDIO,5539,50
Mendoza,19911,PORTILLO DEL NORTE,5539,50
Mendoza,20556,PORTILLO DEL PAPAL,5569,50
Mendoza,17844,PO DE LOS ESCALONES,5569,50
Mendoza,19905,PORTILLO DE INDIO,5539,50
Mendoza,19892,PO DE LA QUEBRADA HONDA,5539,50
Mendoza,20642,PASO LOS PALOS,5560,50
Mendoza,19890,PO DE CONTRABANDISTA,5539,50
Mendoza,5762,PASO DE LOS ANDES,5503,50
Mendoza,19908,PORTILLO LA PAMPA,5539,50
Mendoza,17829,PASO DE LAS CARRETAS,5569,50
Mendoza,19216,PASO DE LOS GAUCHOS,5636,50
Mendoza,17446,PASO DEL CISNE,5533,50
Mendoza,5668,PASO HONDO,5541,50
Mendoza,17618,PATA MORA,5613,50
Mendoza,5832,PATIMALAL,5613,50
Mendoza,17269,PAULINO MATURA,5590,50
Mendoza,17619,PAYUN,5613,50
Mendoza,5797,PEDREGAL,5529,50
Mendoza,17270,PEDRO CASTELU,5590,50
Mendoza,17271,PEDRO PABLO PEREZ,5590,50
Mendoza,19891,PO DE LA CUMBRE,5539,50
Mendoza,5939,PEDRO VARGAS,5603,50
Mendoza,5763,PERDRIEL,5509,50
Mendoza,5764,PETROLEO,5549,50
Mendoza,5857,PHILLIPS,5579,50
Mendoza,5971,PICHI CIEGO ESTACION FCGSM,5594,50
Mendoza,17830,PICOS BAYOS,5569,50
Mendoza,5940,PIEDRA DE AFILAR,5615,50
Mendoza,5874,PIEDRAS BLANCAS,5569,50
Mendoza,17837,PIRCAS DE OSORIO,5569,50
Mendoza,5632,PIRQUITA EMBARCADERO FCGSM,5590,50
Mendoza,19885,PLAZA DE MULAS,5500,50
Mendoza,17839,PO ALVARADO NORTE,5569,50
Mendoza,17841,PO ALVARADO SUR,5569,50
Mendoza,17843,PO AMARILLO,5569,50
Mendoza,18135,PEÑA,5594,50
Mendoza,20558,PORTILLO OCCIDENTAL DEL BAYO,5569,50
Mendoza,17889,PUESTO F TELLO,5569,50
Mendoza,19904,PORTILLO QUEMADO,5539,50
Mendoza,19218,PUESTO DE LA CORONA,5636,50
Mendoza,17887,PUESTO DE LA SALADA,5569,50
Mendoza,17275,PUESTO DE LAS CARRETAS,5590,50
Mendoza,17276,PUESTO DE LAS TROPAS,5590,50
Mendoza,17277,PUESTO DE OLGUIN,5590,50
Mendoza,17278,PUESTO DE OROZCO,5590,50
Mendoza,17279,PUESTO DE PETRA,5590,50
Mendoza,17280,PUESTO DE SOSA,5590,50
Mendoza,19219,PUESTO DEL BUEN PASTOR,5636,50
Mendoza,17282,PUESTO DEL CHAÑACAL,5590,50
Mendoza,20562,PUESTO EL CARRIZALITO,5569,50
Mendoza,17888,PUESTO EL JAGUAL,5569,50
Mendoza,16969,PUESTO EL JILGUERO,5600,50
Mendoza,17274,PUESTO DE GARRO,5590,50
Mendoza,20647,PUESTO EL MANZANO,5560,50
Mendoza,17449,PUESTO EL PICHON,5533,50
Mendoza,17283,PUESTO EL RETAMITO,5590,50
Mendoza,19923,PUESTO EL TOTORAL,5539,50
Mendoza,18138,PUESTO EL TRUENO,5594,50
Mendoza,19914,PUESTO ESCONDIDO,5539,50
Mendoza,18140,PUESTO GARCIA,5594,50
Mendoza,17641,PUESTO GENDARMERIA NACIONAL PO,5613,50
Mendoza,20392,PUESTO GENTILE,5611,50
Mendoza,19924,PUESTO GUAMPARITO,5539,50
Mendoza,17891,PUESTO HORQUETA,5569,50
Mendoza,5671,PUESTO ISLA CHAÑAR,5435,50
Mendoza,17267,PASO DE LAS CANOAS,5590,50
Mendoza,17892,PUESTO J ALVAREZ,5569,50
Mendoza,19915,PUESTO EL PERAL,5539,50
Mendoza,20559,PORTILLO PEDERNALES,5569,50
Mendoza,19921,PUESTO CHAMBON,5539,50
Mendoza,20561,PUESTO CANALES,5569,50
Mendoza,19217,POSTA DE HIERRO,5621,50
Mendoza,5533,POSTE DE FIERRO,5621,50
Mendoza,5765,POTRERILLOS,5549,50
Mendoza,20645,POTRERO SAN PABLO,5560,50
Mendoza,5578,PRIMAVERA,5525,50
Mendoza,5718,PROGRESO,5535,50
Mendoza,16965,PTA DEL AGUA VIEJA,5600,50
Mendoza,17016,PTO LOS AMARILLOS,5636,50
Mendoza,5941,PUEBLO DIAMANTE,5600,50
Mendoza,5942,PUEBLO ECHEVARRIETA,5603,50
Mendoza,5534,PUEBLO LUNA,5632,50
Mendoza,5943,PUEBLO SOTO,5600,50
Mendoza,5670,PUENTE DEL INCA,5555,50
Mendoza,19918,PUESTO CARRIZALITO,5539,50
Mendoza,17273,PUENTE VIEJO,5590,50
Mendoza,17447,PUERTO HORTENSA,5533,50
Mendoza,20388,PUERTO RINCON ESCALONA,5613,50
Mendoza,16966,PUESTA EL CAVADO,5600,50
Mendoza,17884,PUESTO A MARTINEZ,5569,50
Mendoza,17636,PUESTO AGUA AMARGA,5613,50
Mendoza,16967,PUESTO AGUA DE LA LIEBRE,5600,50
Mendoza,20390,PUESTO AGUA DE LA MERINA,5613,50
Mendoza,17886,PUESTO AGUA DE LA ZORRA,5569,50
Mendoza,19920,PUESTO AGUA DE ZANJON,5539,50
Mendoza,16968,PUESTO AGUA DEL MEDANO,5600,50
Mendoza,20657,PUESTO ALFARFA,5561,50
Mendoza,17448,PUESTO ALGARROBO GRANDE,5533,50
Mendoza,17640,PUESTO ATAMISQUI,5613,50
Mendoza,5633,PUERTA DE LA ISLA,5590,50
Mendoza,17266,PASCUAL SOSA,5590,50
Mendoza,17236,LOS ROSETI,5590,50
Mendoza,19884,PARAMILLO DE LAS VACAS,5500,50
Mendoza,5792,LUNLUNTA,5517,50
Mendoza,5770,LUZURIAGA,5513,50
Mendoza,17245,M ESCUDERO,5590,50
Mendoza,17247,M QUIROGA,5590,50
Mendoza,5794,MAIPU,5515,50
Mendoza,17604,MALAL DEL MEDIO,5611,50
Mendoza,5828,MALARGUE,5613,50
Mendoza,17605,MALLIN QUEMADO,5613,50
Mendoza,17820,LOS PARAMILLOS,5569,50
Mendoza,5630,MAQUINISTA LEVET,5590,50
Mendoza,17248,MARAVILLA,5590,50
Mendoza,17249,MARIA GARCIA,5590,50
Mendoza,17442,MARIA LUISA,5563,50
Mendoza,5759,LUJAN DE CUYO,5507,50
Mendoza,17250,MARIA VIUDA DE DONAIRE,5590,50
Mendoza,5795,MARQUEZ ESCUELA117,5517,50
Mendoza,17972,MASA,5582,50
Mendoza,17606,MATANCILLA,5613,50
Mendoza,5666,MATHEU NORTE,5543,50
Mendoza,17254,MATIAS GARRO,5590,50
Mendoza,17607,MATONCILLA,5611,50
Mendoza,18124,MATURANA,5594,50
Mendoza,17255,MAURICIO CALDERON,5590,50
Mendoza,27892,MAYOR DRUMMOND,5507,50
Mendoza,5796,MAZA,5517,50
Mendoza,17608,MECHANQUIL,5613,50
Mendoza,5829,MECHENGUIL,5613,50
Mendoza,17034,MEDANOS COLORADOS,5636,50
Mendoza,17252,MARIO OLGUIN,5590,50
Mendoza,17256,MEDARDO MIRANDA,5590,50
Mendoza,17244,LUIS MARQUEZ,5590,50
Mendoza,20424,LUANCO,5611,50
Mendoza,20563,PUESTO J CASTRO,5569,50
Mendoza,5931,LOS PARLAMENTOS,5611,50
Mendoza,16977,LOS PATOS,5600,50
Mendoza,16978,LOS PEJECITOS,5600,50
Mendoza,5932,LOS PEJES,5603,50
Mendoza,5664,LOS PENITENTES,5553,50
Mendoza,17602,LOS POZOS,5613,50
Mendoza,5715,LOS RALOS,5537,50
Mendoza,17235,LOS RAMBLONES,5590,50
Mendoza,17603,LOS RAMBLONES,5611,50
Mendoza,16979,LOS REPUNTES,5600,50
Mendoza,5933,LOS REYUNOS,5615,50
Mendoza,20284,LOS SAUCES,5537,50
Mendoza,17243,LUCAS DONAIRE,5590,50
Mendoza,5986,LOS SAUCES,5563,50
Mendoza,5665,LOS TAMARINDOS,5539,50
Mendoza,17237,LOS TAMARINDOS,5590,50
Mendoza,5934,LOS TERNEROS,5600,50
Mendoza,16980,LOS TOLDITOS,5600,50
Mendoza,17969,LOS TORDILLOS,5582,50
Mendoza,17240,LOS TORDILLOS,5621,50
Mendoza,20547,LOS TOSCALES,5569,50
Mendoza,17241,LOS VERDES,5590,50
Mendoza,18119,LOS VERDES,5594,50
Mendoza,17242,LOS VILLEGAS,5590,50
Mendoza,17441,LOS YAULLINES,5533,50
Mendoza,18120,LOS YOLES,5594,50
Mendoza,5758,LOTES DE GAVIOLA,5507,50
Mendoza,5987,LOS SAUCES LAVALLE,5560,50
Mendoza,5530,MEDIA LUNA,6279,50
Mendoza,5853,MEDRANO,5585,50
Mendoza,18125,MELITON CAMPOS,5594,50
Mendoza,17261,NECTO SOSA,5590,50
Mendoza,20599,NEGRO QUEMADO,5623,50
Mendoza,17262,NESTOR AGUILERA,5590,50
Mendoza,17264,NICOLAS ORDOÑEZ,5590,50
Mendoza,20600,NIHUIL,5605,50
Mendoza,17615,NIRE CO,5611,50
Mendoza,5882,NUEVA CALIFORNIA,5535,50
Mendoza,19215,OCHENTA Y CUATRO,5633,50
Mendoza,20426,OJO DE AGUA,5611,50
