provincia,id,localidad,cp,id_prov_mstr
Misiones,9566,LARRAQUE,3384,54
Misiones,27555,LAS FLORES,3338,54
Misiones,27572,LAS BANANERAS,3353,54
Misiones,27586,LAPACHO,3337,54
Misiones,9650,ROCA CHICA,3324,54
Misiones,20504,LA POSTA,3384,54
Misiones,9496,LA PLANTADORA,3322,54
Misiones,9629,LA OTILIA,3328,54
Misiones,27575,LAS MANDARINAS,3353,54
Misiones,20427,LA ROTONDA,3300,54
Misiones,20502,LA MISIONERA,3384,54
Misiones,20458,LAS MERCEDES,3364,54
Misiones,9348,LAS TUNAS,3350,54
Misiones,9664,MACHADIÑO,3353,54
Misiones,9320,MAI BAO,3363,54
Misiones,9427,MANANTIALES,3306,54
Misiones,9632,MANIS,3327,54
Misiones,27558,MANUEL BELGRANO,3338,54
Misiones,9633,MARIA ANTONIA,3322,54
Misiones,9469,MARIA MAGDALENA,3381,54
Misiones,27557,MARIANO MORENO,3338,54
Misiones,9561,MBOPICUA,3332,54
Misiones,9521,MECKING,3315,54
Misiones,20459,MESA REDONDA,3364,54
Misiones,20460,MIGUEL GUEMES,3364,54
Misiones,9428,MIGUEL LANUS,3304,54
Misiones,27552,MILAGRO,3337,54
Misiones,20461,MOCONA,3364,54
Misiones,20507,MACACO,3384,54
Misiones,9396,LAS QUEMADAS,3309,54
Misiones,20506,MACACA,3384,54
Misiones,9631,LOTE 5,3318,54
Misiones,20385,LAS VERTIENTES,3300,54
Misiones,9520,LEANDRO N ALEM,3315,54
Misiones,27563,LECHUZA,3338,54
Misiones,9497,LIBERTAD,3374,54
Misiones,9544,LINEA CUCHILLA,3334,54
Misiones,9567,LINEA DE PERAY,3384,54
Misiones,27554,LOMA PORA,3337,54
Misiones,9397,LORETO,3316,54
Misiones,9663,LOS GALPONES,3353,54
Misiones,9591,LOS HELECHOS,3361,54
Misiones,9545,LOS TEALES,3328,54
Misiones,20367,LOTE 117,3317,54
Misiones,9349,LOTE 117,3351,54
Misiones,9398,LOTE 12,3316,54
Misiones,9630,LOTE 25,3327,54
Misiones,20469,LUJAN,3364,54
Misiones,20381,LA MILAGROSA,3300,54
Misiones,9395,LA INVERNADA,3309,54
Misiones,9628,LA HORQUETA,3322,54
Misiones,27551,FRIGO,3337,54
Misiones,9369,FRONTERAS,3364,54
Misiones,9543,GARUHAPE,3334,54
Misiones,9422,GARUPA,3304,54
Misiones,9423,GARUPA NORTE,3304,54
Misiones,9586,GENERAL ALVEAR,3361,54
Misiones,27849,GENERAL URQUIZA,3326,54
Misiones,9495,GOBERNADOR LANUSSE,3376,54
Misiones,9527,GOBERNADOR LOPEZ,3315,54
Misiones,9622,GOBERNADOR ROCA,3324,54
Misiones,9519,GRAL GUEMES,3313,54
Misiones,20457,GUAIBICHU,3364,54
Misiones,9587,GUARANI,3361,54
Misiones,9564,GUARAYPO,3384,54
Misiones,9588,GUAYABERA,3361,54
Misiones,27565,FRAY LUIS BELTRAN,3338,54
Misiones,9657,GUERRERO,3357,54
Misiones,9656,FRANCES,3357,54
Misiones,9490,FRACRAN,3364,54
Misiones,9489,EL SOBERBIO,3364,54
Misiones,20466,EL SOCORRO,3364,54
Misiones,9368,EL TIGRE,3364,54
Misiones,9620,EL TRIUNFO,3322,54
Misiones,20372,EL TROPEZON,3300,54
Misiones,9466,ELDORADO,3380,54
Misiones,9344,ENSANCHE ESTE,3350,54
Misiones,9345,ENSANCHE NORTE,3350,54
Misiones,9346,ESTACION APOSTOLES,3358,54
Misiones,9621,ESTACION EXPERIMENTAL DE LORET,3322,54
Misiones,20373,ESTANCIA ITAEMBE,3300,54
Misiones,20497,ESTANCIA SANTA RITA,3384,54
Misiones,9421,FACHINAL,3304,54
Misiones,20355,FILEMON POSSE,3363,54
Misiones,9585,FLORENTINO AMEGHINO,3361,54
Misiones,27571,FRAGA CUE,3353,54
Misiones,9623,HEKENAN,3327,54
Misiones,9624,HIPOLITO YRIGOYEN,3328,54
Misiones,27579,INDUMAR,3337,54
Misiones,9424,KILOMETRO 538,3306,54
