provincia,id,localidad,cp,id_prov_mstr
Neuquen,7910,TRES CHORROS,8353,58
Neuquen,7670,ZINGONE Y CIA M,8375,58
Neuquen,7950,EL PALAO,8347,58
Neuquen,7824,EL PERALITO,8351,58
Neuquen,7825,EL PINO ANDINO,8349,58
Neuquen,19797,EL PORTON,8353,58
Neuquen,7800,EL PORVENIR,8370,58
Neuquen,7826,EL SALADO,8351,58
Neuquen,7720,EL SALITRAL,8375,58
Neuquen,7924,EL SAUCE,8313,58
Neuquen,20287,EL TROMEN,8353,58
Neuquen,7994,EL TROPEZON,8340,58
Neuquen,7656,EL OVERO,8340,58
Neuquen,7657,ESPINAZO DEL ZORRO,8341,58
Neuquen,7845,ESTANCIA NEWBERY,8401,58
Neuquen,7846,ESTANCIA TEQUEL MALAL,8401,58
Neuquen,7866,FILMATUE,8353,58
Neuquen,7801,FILO HUA HUM,8370,58
Neuquen,7867,FLORES,8353,58
Neuquen,7658,FORTIN 1 DE MAYO,8341,58
Neuquen,26290,FORTIN GUAÑACOS,8353,58
Neuquen,7827,FRANHUCURA,8351,58
Neuquen,7802,GENTE GRANDE,8379,58
Neuquen,7995,GOÑI CO,8340,58
Neuquen,7844,ESTANCIA LA PRIMAVERA,8403,58
Neuquen,7799,EL OASIS,8370,58
Neuquen,7843,EL MANZANO,8403,58
Neuquen,7842,EL MACHETE,8407,58
Neuquen,7990,COVUNCO,8340,58
Neuquen,7991,COVUNCO ABAJO,8351,58
Neuquen,7992,COVUNCO ARRIBA,8340,58
Neuquen,7993,COVUNCO CENTRO,8351,58
Neuquen,7690,COYUCO COCHICO,8353,58
Neuquen,7947,CUCHILLO CURA,8347,58
Neuquen,7840,CULLIN MANZANO,8401,58
Neuquen,27716,CURA CO,8353,58
Neuquen,7691,CURU  LEUVU,8353,58
Neuquen,7748,CUTRAL CO,8322,58
Neuquen,7692,EL ALAMITO,8353,58
Neuquen,7841,EL ARBOLITO,8407,58
Neuquen,7948,EL ATRAVESADO,8347,58
Neuquen,7895,EL BOSQUE,8349,58
Neuquen,7798,EL CERRITO,8370,58
Neuquen,7864,EL CHINGUE,8353,58
Neuquen,7896,EL CHOLAR,8353,58
Neuquen,7693,EL CURILEO,8353,58
Neuquen,7618,EL DORMIDO,8341,58
Neuquen,7865,EL DURAZNO,8353,58
Neuquen,7949,EL ESCORIAL,8347,58
Neuquen,7619,EL GATO,8341,58
Neuquen,7897,EL HUECU,8349,58
Neuquen,7868,GUAÑACOS,8353,58
Neuquen,7719,COSTA LIMAY,8315,58
Neuquen,7951,HAICHOL,8347,58
Neuquen,7898,HAYCU,8349,58
Neuquen,7804,LA FORTUNA,8370,58
Neuquen,7998,LA FRIA,8340,58
Neuquen,7999,LA ISABEL,8340,58
Neuquen,7851,LA LIPELA,8401,58
Neuquen,7659,LA NEGRA,8375,58
Neuquen,7624,LA OFELIA,8341,58
Neuquen,8000,LA PATAGONIA,8340,58
Neuquen,8001,LA PATRIA,8340,58
Neuquen,27719,LA PICAZA,8340,58
Neuquen,7721,LA PINTADA,8315,58
