provincia,id,localidad,cp,id_prov_mstr
Rio Negro,5264,EL GAUCHO POBRE,8417,62
Rio Negro,5123,YAMINUE,8534,62
Rio Negro,5262,EL CACIQUE,8417,62
Rio Negro,5082,EL CAIN,8422,62
Rio Negro,5263,EL CAMARURO,8417,62
Rio Negro,5083,EL CHEIFUL,8418,62
Rio Negro,5210,EL CONDOR ESTANCIA,8400,62
Rio Negro,5327,EL CUY,8333,62
Rio Negro,5138,EL DIQUE,8500,62
Rio Negro,5211,EL FOYEL,8401,62
Rio Negro,5265,EL JARDINERO,8417,62
Rio Negro,5212,EL MANSO,8430,62
Rio Negro,5328,EL MANZANO,8328,62
Rio Negro,5085,EL MOLIGUE,8418,62
Rio Negro,5381,EL PANTANOSO,8412,62
Rio Negro,5236,EL PORVENIR,8503,62
Rio Negro,5481,EL SALADO,8536,62
Rio Negro,5087,EMPALME KILOMETRO 648,8418,62
Rio Negro,5172,ESTANCIA LAS JULIAS,8363,62
Rio Negro,5209,EL BOLSON,8430,62
Rio Negro,5121,FALCKNER,8534,62
Rio Negro,5435,DINA HUAPI,8402,62
Rio Negro,5261,CURA LAUQUEN,8417,62
Rio Negro,5118,CONA NIYEU,8521,62
Rio Negro,5320,CONTRALMIRANTE CORDERO,8301,62
Rio Negro,5321,CONTRALMIRANTE M GUERRICO,8328,62
Rio Negro,5432,COQUELEN,8416,62
Rio Negro,5397,CORONEL EUGENIO DEL BUSTO,8138,62
Rio Negro,5235,CORONEL FRANCISCO SOSA,8503,62
Rio Negro,5322,CORONEL JUAN JOSE GOMEZ,8333,62
Rio Negro,5323,CORONEL VIDAL,8305,62
Rio Negro,5380,CORRAL DE LOS PINOS,8412,62
Rio Negro,5433,CORRALITO,8403,62
Rio Negro,5324,COS ZAURES,8307,62
Rio Negro,5207,COSTA DEL RIO AZUL,8430,62
Rio Negro,5434,COSTAS DEL PICHI LEUFU,8412,62
Rio Negro,5325,CUATRO ESQUINAS,8324,62
Rio Negro,27738,CUBANEA,8501,62
Rio Negro,5326,CUENCA VIDAL,8301,62
Rio Negro,18622,CUESTA DEL TERNERO,9210,62
Rio Negro,5169,DARWIN,8364,62
Rio Negro,5117,COMI CO,8424,62
Rio Negro,5329,FERRI,8301,62
