provincia,id,localidad,cp,id_prov_mstr
Salta,11521,SALADILLO,4434,66
Salta,11660,SALADILLO,4430,66
Salta,20872,SALADILLO DE JUAREZ,4448,66
Salta,20982,SAN ALEJO,4401,66
Salta,11881,SACHA PERA,4440,66
Salta,21820,S JOLLIN,4560,66
Salta,21799,RUMIUARCO,4427,66
Salta,11830,SALADILLO,4415,66
Salta,11819,SALADILLO DE OSMA,4421,66
Salta,12022,SALVADOR MAZZA,4568,66
Salta,21388,SALAR DE POCITOS,4413,66
Salta,11829,SALAR DEL HOMBRE MUERTO,4419,66
Salta,21032,SALAZAR,4126,66
Salta,11566,SALTA,4400,66
Salta,16665,SAN ANTONIO,4427,66
Salta,20873,SALTA FORESTAL KILOMETRO 50,4449,66
Salta,21640,SAN AGUSTIN,4193,66
Salta,11947,SAN ANDRES,4530,66
Salta,27532,RUMIHUASI,4419,66
Salta,21194,SAN AGUSTIN,4421,66
Salta,16709,SALAR DE HOMBRE MUERTO,4419,66
Salta,20919,RUMIHUASI,4417,66
Salta,11946,RIO PESCADO,4530,66
Salta,21651,ROSARIO FUNCA,4190,66
Salta,11944,RIO COLORADO,4530,66
Salta,11720,RIO CARAPAN,4566,66
Salta,12044,SAN ANTONIO,4427,66
Salta,16661,RIO BLANCO,4417,66
Salta,11945,RIO DE LAS PIEDRAS,4530,66
Salta,11518,RIO DEL VALLE,4449,66
Salta,21253,RIO LAVALLEN,4432,66
Salta,21524,RIO PIEDRAS,4434,66
Salta,21819,RIO SECO,4552,66
Salta,11554,RIO TORO,4417,66
Salta,21708,RIO URUEÑA,4193,66
Salta,12005,RIVADAVIA,4535,66
Salta,11519,ROCA,4452,66
Salta,11769,RODEO COLORADO,4633,66
Salta,11659,RODEO GRANDE,4432,66
Salta,12067,RODEO PAMPA,4651,66
Salta,16679,RODEOS,4403,66
Salta,11877,ROSALES,4446,66
Salta,12023,ROSARIO DE LA FRONTERA,4190,66
Salta,12030,ROSARIO DE LERMA,4405,66
Salta,11520,ROSARIO DEL DORADO,4449,66
Salta,21030,RUIZ DE LOS LLANOS,4126,66
Salta,11948,SAN ANTONIO,4530,66
Salta,12070,SAN JUAN DE ORO,4651,66
Salta,11609,SAN ANTONIO CHICOANA,4421,66
Salta,11611,SAN JOAQUIN,4423,66
Salta,12008,SAN JOAQUIN,4535,66
Salta,20877,SAN JORGE,4448,66
Salta,11612,SAN JOSE,4421,66
Salta,11905,SAN JOSE DE COLTE,4419,66
Salta,11555,SAN JOSE DE ESCALCHI,4419,66
Salta,11613,SAN JOSE DE LA VIÑA,4423,66
Salta,11878,SAN JOSE DE ORQUERAS,4446,66
Salta,21652,SAN JUAN,4193,66
Salta,11523,SAN JUAN,4446,66
Salta,11772,SAN JUAN,4633,66
