provincia,id,localidad,cp,id_prov_mstr
San Juan,19022,RINCON DE LA OLLITA,5467,70
San Juan,19391,REFUGIO LOS GAUCHOS,5409,70
San Juan,19021,RINCON DE LA BREA,5467,70
San Juan,19194,RINCON COLORADO,5460,70
San Juan,19616,RINCON CHICO,5447,70
San Juan,15876,RINCON,5460,70
San Juan,15796,RINCON,5442,70
San Juan,19615,RICHARD,5447,70
San Juan,15984,RETAMITO,5435,70
San Juan,19388,REFUGIO D P V,5409,70
San Juan,15900,QUINTO CUARTEL,5427,70
San Juan,19612,REFUGIO,5447,70
San Juan,18742,RANCHOS DE FAMACOA,5415,70
San Juan,15983,RAMBLON,5435,70
San Juan,15901,QUIROGA,5435,70
San Juan,19018,QUILINQUIL,5467,70
San Juan,15948,PUNTILLA NEGRA,5439,70
San Juan,15795,PUNTILLA BLANCA,5443,70
San Juan,15947,PUNTILLA BLANCA,5439,70
San Juan,15794,PUNTILLA,5443,70
San Juan,19611,PUNTA NORTE,5447,70
San Juan,19019,REFUGIO,5467,70
San Juan,19024,RINCON DE LOS CHINCHILLEROS,5467,70
San Juan,15925,SANTA CLARA,5425,70
San Juan,19617,RINCON GRANDE,5447,70
San Juan,19353,SANTA CLARA,5431,70
San Juan,15879,SANTA BARBARA,5409,70
San Juan,19618,SANJUANINO,5447,70
San Juan,15903,SANCHEZ DE LORIA,5427,70
San Juan,15878,SAN ROQUE,5409,70
San Juan,15950,SAN MARTIN,5439,70
San Juan,16028,SAN JUAN BAUTISTA USNO,5449,70
San Juan,15761,SAN JUAN,5400,70
San Juan,19196,SAN ISIDRO,5461,70
San Juan,15949,SAN ISIDRO,5439,70
San Juan,15797,SAN CARLOS,5446,70
San Juan,15985,SAN CARLOS,5435,70
San Juan,16027,SAN ANTONIO,5449,70
San Juan,15714,SAN ANTONIO,5443,70
San Juan,19624,SAN AGUSTIN DEL VALLE FERTIL,5449,70
San Juan,15756,RUTA 20 KILOMETRO 114,5401,70
San Juan,19026,RUINAS INDIGENAS,5467,70
San Juan,15829,RODEO,5465,70
San Juan,15936,RIVADAVIA,5400,70
San Juan,15935,RIO SASO,5407,70
San Juan,15877,RIO PALO,5460,70
San Juan,16026,RINCONES,5449,70
San Juan,15902,RINCONADA,5429,70
San Juan,19195,RINCON DEL GATO,5460,70
San Juan,16345,PUNTA DEL MONTE,5415,70
San Juan,18810,PTO SANTA ROSA DE ABAJO,5405,70
San Juan,19352,PUNTA DEL MEDANO,5435,70
San Juan,19164,PTO POTRERILLO,5460,70
San Juan,19191,PTO PORTEZUELO HONDO,5460,70
San Juan,19179,PTO PIMPA,5460,70
