provincia,id,localidad,cp,id_prov_mstr
Santa Fe,1324,SAN CARLOS NORTE,3009,82
Santa Fe,1503,SAN GENARO,2146,82
Santa Fe,2217,SAN GERONIMO,2136,82
Santa Fe,1931,SAN FRANCISCO DE SANTA FE,2601,82
Santa Fe,1502,SAN FABIAN,2242,82
Santa Fe,15702,SAN EUGENIO,2253,82
Santa Fe,1462,SAN ESTANISLAO,2501,82
Santa Fe,1930,SAN EDUARDO,2615,82
Santa Fe,1408,SAN CRISTOBAL,3070,82
Santa Fe,1325,SAN CARLOS SUD,3013,82
Santa Fe,1504,SAN GENARO NORTE,2147,82
Santa Fe,1323,SAN CARLOS CENTRO,3013,82
Santa Fe,1928,RUNCIMAN,2611,82
Santa Fe,17209,SAN BERNARDO,3061,82
Santa Fe,2177,SAN BERNARDO,3048,82
Santa Fe,2043,SAN ANTONIO DE OBLIGADO,3587,82
Santa Fe,2042,SAN ALBERTO,3565,82
Santa Fe,1322,SAN AGUSTIN,3017,82
Santa Fe,1461,SALTO GRANDE,2142,82
Santa Fe,1434,SALADERO M CABAL,3001,82
Santa Fe,1268,SAGUIER,2301,82
Santa Fe,1321,SA PEREYRA,3011,82
Santa Fe,1433,RUINAS SANTA FE LA VIEJA,3001,82
Santa Fe,1927,RUFINO,6100,82
Santa Fe,1357,RUEDA,2921,82
Santa Fe,1932,SAN GREGORIO,2613,82
Santa Fe,1929,SAN CARLOS,6106,82
Santa Fe,1409,SAN GUILLERMO,2347,82
Santa Fe,1559,SAN PEDRO SUR,3014,82
Santa Fe,1554,SAN GUILLERMO,3020,82
Santa Fe,1270,SAN VICENTE,2447,82
Santa Fe,1935,SAN URBANO,2728,82
Santa Fe,2100,SAN SEBASTIAN,2121,82
Santa Fe,2044,SAN ROQUE,3553,82
Santa Fe,1464,SAN RICARDO,2501,82
Santa Fe,20949,ROSARIO,2000,82
Santa Fe,1558,SAN PEDRO NORTE,3021,82
Santa Fe,1557,SAN PEDRO,3021,82
Santa Fe,1269,SAN MIGUEL,2309,82
Santa Fe,2180,SAN MARTIN NORTE,3045,82
Santa Fe,2139,SAN MARTIN DE TOURS,2255,82
Santa Fe,2254,SAN MARTIN DE LAS ESCOBAS,2449,82
Santa Fe,1328,SAN MARIANO,3011,82
Santa Fe,1934,SAN MARCOS DE VENADO TUERTO,2600,82
