provincia,id,localidad,cp,id_prov_mstr
Santiago del Estero,22134,SANTA BARBARA,4208,86
Santiago del Estero,26745,SANTA CATALINA,3064,86
Santiago del Estero,27405,SANTA BRIGIDA,5257,86
Santiago del Estero,26063,SANTA BRIGIDA,4321,86
Santiago del Estero,14472,SANTA BARBARA FERREIRA,4208,86
Santiago del Estero,27399,SANTA ANA,5251,86
Santiago del Estero,26722,SAN CARLOS,3749,86
Santiago del Estero,22001,SANTA ANA,4205,86
Santiago del Estero,27480,SANTA ANA,3760,86
Santiago del Estero,26352,SANTA ANA,2354,86
Santiago del Estero,26963,SANTA CATALINA,4203,86
Santiago del Estero,27247,SANSIOJ,4197,86
Santiago del Estero,26117,SANTA ANA,5250,86
Santiago del Estero,27248,SANTA CRUZ,4197,86
Santiago del Estero,27409,SANTA ELENA,5255,86
Santiago del Estero,14207,SANTA CRUZ,4301,86
Santiago del Estero,14287,SANTA CRUZ,4302,86
Santiago del Estero,25997,SANTA CRUZ,4322,86
Santiago del Estero,26257,SANTA ELENA,3741,86
Santiago del Estero,26184,SANTA ELENA,5250,86
Santiago del Estero,14471,SANDIA HUAJCHU,4208,86
Santiago del Estero,27252,SANTA FELISA,4197,86
Santiago del Estero,25951,SANTA INES,4308,86
Santiago del Estero,25855,SANTA ISABEL,4208,86
Santiago del Estero,26434,SANTA ISABEL,4315,86
Santiago del Estero,26927,SANTA JUSTINA,3740,86
Santiago del Estero,26847,SANTA LUCIA,4233,86
Santiago del Estero,26031,SANTA LUCIA,4319,86
Santiago del Estero,26233,SANTA LUCIA,4353,86
Santiago del Estero,26752,SANTA CRUZ,4301,86
Santiago del Estero,27478,SANAVIRONES,3064,86
Santiago del Estero,27435,SAN VICENTE,4206,86
Santiago del Estero,25962,SAN VICENTE,4322,86
Santiago del Estero,21999,SAN RAMON,4205,86
Santiago del Estero,14426,SAN RAMON,4238,86
Santiago del Estero,21029,SAN RAMON,4301,86
Santiago del Estero,14285,SAN RAMON,4302,86
Santiago del Estero,22407,SAN RAMON,4322,86
Santiago del Estero,21085,SAN RAMON,4328,86
Santiago del Estero,14521,SAN RAMON,4339,86
Santiago del Estero,21950,SAN RAMON,4350,86
Santiago del Estero,26231,SAN RAMON,4353,86
Santiago del Estero,26182,SAN RAMON,5255,86
Santiago del Estero,27395,SAN RAMON QUEBRACHOS,5255,86
Santiago del Estero,27432,SAN CARLOS,4201,86
Santiago del Estero,26845,SAN ROMANO,4233,86
Santiago del Estero,22000,SAN ROQUE,4205,86
Santiago del Estero,14370,SAN ROQUE,4301,86
Santiago del Estero,14286,SAN ROQUE,4302,86
Santiago del Estero,25996,SAN ROQUE,4322,86
Santiago del Estero,21129,SAN ROQUE,4326,86
Santiago del Estero,26232,SAN ROQUE,4353,86
Santiago del Estero,21011,SAN RUFINO,2356,86
Santiago del Estero,25950,SAN SALVADOR,4308,86
Santiago del Estero,26679,SAN SALVADOR,4354,86
Santiago del Estero,26351,SAN SEBASTIAN,2354,86
Santiago del Estero,22537,SAN SEBASTIAN,4206,86
Santiago del Estero,21951,SAN SIMON,4350,86
Santiago del Estero,26774,SANTA MARIA,3712,86
Santiago del Estero,14470,SAN VICENTE,4212,86
Santiago del Estero,14348,SAN VICENTE,4301,86
Santiago del Estero,14371,SAN VICENTE,4301,86
Santiago del Estero,27413,SAN VICENTE,4354,86
Santiago del Estero,27436,SANTA MARIA,4201,86
Santiago del Estero,26234,SANTA MARIA,4353,86
Santiago del Estero,14473,SANTA MARIA,4208,86
Santiago del Estero,26255,SAN ALBERTO,3741,86
Santiago del Estero,22525,SAN AGUSTIN,4206,86
Santiago del Estero,21993,SAN AGUSTIN,4205,86
Santiago del Estero,21009,SAN AGUSTIN,2356,86
Santiago del Estero,21079,SALVIAIOJ GAITAN,4328,86
Santiago del Estero,27023,SALINAS,5250,86
Santiago del Estero,21056,SALINAS,4317,86
Santiago del Estero,26903,SALDIVAR,3740,86
Santiago del Estero,26030,SALADILLO,4319,86
Santiago del Estero,25930,SALADILLO,4304,86
Santiago del Estero,26403,SALADILLO,4301,86
Santiago del Estero,26669,SALADILLO,3745,86
Santiago del Estero,25999,SAINQUEN PUNCO,4322,86
Santiago del Estero,14206,SACHAYOJ,3731,86
Santiago del Estero,27387,SABAGASTA,4319,86
Santiago del Estero,26461,RUTA PROVINCIAL 8,4326,86
Santiago del Estero,26459,RUTA PROVINCIAL 5,4326,86
Santiago del Estero,26457,RUTA PROVINCIAL 40,4326,86
Santiago del Estero,26455,RUTA PROVINCIAL 17,4326,86
Santiago del Estero,26454,RUTA PROVINCIAL 130,4326,86
Santiago del Estero,26453,RUTA PROVINCIAL 11,4326,86
Santiago del Estero,26450,RUTA NACIONAL 34,4326,86
Santiago del Estero,21153,RUMIOS,4338,86
Santiago del Estero,27156,RUMIARCO,4415,86
Santiago del Estero,27348,RUMI JACO,5257,86
Santiago del Estero,26061,RUMI JACO,4321,86
Santiago del Estero,26115,RUMI HUASI,5251,86
Santiago del Estero,14334,RUMI ESQUINA,4234,86
Santiago del Estero,26637,RUMI,4353,86
Santiago del Estero,22527,SAN ANDRES,4206,86
Santiago del Estero,25993,SAN ANDRES,4302,86
