provincia,id,localidad,cp,id_prov_mstr
Tierra del Fuego,26604,ESTANCIA DOS HEMANAS,9420,94
Tierra del Fuego,26591,ESTANCIA CARMEN,9420,94
Tierra del Fuego,26595,ESTANCIA CAUCHICO,9420,94
Tierra del Fuego,26598,ESTANCIA COSTANCIA,9420,94
Tierra del Fuego,26601,ESTANCIA CULLEN,9420,94
Tierra del Fuego,26749,ESTANCIA DESPEDIDA,9420,94
Tierra del Fuego,26580,ESTANCIA AURELIA,9420,94
Tierra del Fuego,26588,ESTANCIA BUENOS AIRES,9420,94
Tierra del Fuego,26608,ESTANCIA EL ROBLE,9420,94
Tierra del Fuego,26628,ESTANCIA JOSE MENENDEZ,9420,94
Tierra del Fuego,26616,ESTANCIA EL SALVADOR,9420,94
Tierra del Fuego,26620,ESTANCIA GUAZU CUE,9420,94
Tierra del Fuego,26467,ESTANCIA HARBERTON,9410,94
Tierra del Fuego,26625,ESTANCIA HERMINITA,9420,94
Tierra del Fuego,26626,ESTANCIA INES,9420,94
Tierra del Fuego,26632,ESTANCIA LA CRIOLLA,9420,94
Tierra del Fuego,26640,ESTANCIA LA FUEGUINA,9420,94
Tierra del Fuego,26572,ESTACION OSN,9420,94
Tierra del Fuego,26644,ESTANCIA LA INDIANA,9420,94
Tierra del Fuego,26613,ESTANCIA EL RODEO,9420,94
Tierra del Fuego,5035,ESTACION CIENTIFICA ALTE BROWN,9411,94
Tierra del Fuego,5027,BASE AEREA VICECOMOD MARAMBIO,9411,94
Tierra del Fuego,5042,EL PARAMO,9420,94
Tierra del Fuego,26646,ESTANCIA LA PORTEÑA,9420,94
Tierra del Fuego,26540,ASERRADERO ARROYO,9420,94
Tierra del Fuego,26464,BAHIA LAPATAIA,9410,94
Tierra del Fuego,5026,BASE AEREA TENIENTE MATIENZO,9411,94
Tierra del Fuego,5029,BASE BELGRANO,9411,94
Tierra del Fuego,27629,BASE BELGRANO 2,9411,94
Tierra del Fuego,5030,BASE BELGRANO 3,9411,94
Tierra del Fuego,27627,BASE CIENTIFICA TTE JUBANY,9411,94
Tierra del Fuego,5028,BASE EJERCITO ESPERANZA,9411,94
Tierra del Fuego,5031,BASE EJERCITO GRAL SAN MARTIN,9411,94
Tierra del Fuego,5032,BASE EJERCITO PRIMAVERA,9411,94
Tierra del Fuego,5033,BASE EJERCITO SOBRAL,9411,94
Tierra del Fuego,27628,BASE ORCADAS,9411,94
Tierra del Fuego,26542,CABAÑA RUBY,9420,94
Tierra del Fuego,26551,CABO SAN PABLO,9420,94
Tierra del Fuego,26552,CAMPAMENTO CENTRAL YPF,9420,94
Tierra del Fuego,26554,CAMPAMENTO LOS CHORRILLOS,9420,94
Tierra del Fuego,26555,COMISARIA RADMAN,9420,94
Tierra del Fuego,5034,DESTACAMENTO MELCHIOR,9411,94
Tierra del Fuego,26568,ESTACION AERONAVAL,9411,94
Tierra del Fuego,26648,ESTANCIA LAS HIJAS,9420,94
Tierra del Fuego,27796,MISION SALESIANA MÑOR FAGNANO,9420,94
Tierra del Fuego,26653,ESTANCIA LAURA,9420,94
Tierra del Fuego,26746,ESTANCIA VIAMONTE,9420,94
Tierra del Fuego,26750,FRIGORIFICO CAP,9421,94
Tierra del Fuego,26533,HOSTERIA KAIKEN,9410,94
Tierra del Fuego,5047,ISLA DE LOS ESTADOS,9410,94
Tierra del Fuego,5040,ISLA GRAN MALVINA,9409,94
Tierra del Fuego,5036,ISLA JOINVILLE,9411,94
Tierra del Fuego,5037,ISLA SHETLAND DEL SUR,9411,94
Tierra del Fuego,5041,ISLA SOLEDAD,9409,94
Tierra del Fuego,5038,ISLAS GEORGIAS DEL SUR,9411,94
Tierra del Fuego,5039,ISLAS ORCADAS DEL SUR,9411,94
Tierra del Fuego,27631,ISLAS SANDWICH DEL SUR,9411,94
Tierra del Fuego,26751,LAGO KHAMI,9420,94
Tierra del Fuego,26754,PUNTA MARIA,9420,94
Tierra del Fuego,5043,RIO GRANDE,9420,94
Tierra del Fuego,5044,SAN SEBASTIAN,9420,94
Tierra del Fuego,5045,SANTA INES,9420,94
Tierra del Fuego,26757,SECCION AVILES  ESTANCIA SAN J,9420,94
Tierra del Fuego,5046,TOLHUIN,9420,94
Tierra del Fuego,5048,USHUAIA,9410,94
Tierra del Fuego,26744,ESTANCIA TEPI,9420,94
Tierra del Fuego,26743,ESTANCIA SARA,9420,94
Tierra del Fuego,26740,ESTANCIA SANTA ANA,9420,94
Tierra del Fuego,26738,ESTANCIA SAN PABLO,9420,94
Tierra del Fuego,26658,ESTANCIA LIBERTAD,9420,94
Tierra del Fuego,26662,ESTANCIA LOS FLAMENCOS,9420,94
Tierra del Fuego,26666,ESTANCIA MARIA BEHETY,9420,94
Tierra del Fuego,26668,ESTANCIA MARIA CRISTINA,9420,94
Tierra del Fuego,26674,ESTANCIA MARIA LUISA,9420,94
Tierra del Fuego,26680,ESTANCIA MARINA,9420,94
Tierra del Fuego,26684,ESTANCIA MIRAMONTE,9420,94
Tierra del Fuego,26686,ESTANCIA PIRINAICA,9420,94
Tierra del Fuego,26692,ESTANCIA POLICARPO,9420,94
Tierra del Fuego,26651,ESTANCIA LAS VIOLETAS,9420,94
Tierra del Fuego,26695,ESTANCIA RIO CLARO,9420,94
Tierra del Fuego,26700,ESTANCIA RIO IRIGOYEN,9420,94
Tierra del Fuego,26704,ESTANCIA RIVADAVIA,9420,94
Tierra del Fuego,26708,ESTANCIA ROLITO,9420,94
Tierra del Fuego,26711,ESTANCIA ROSITA,9420,94
Tierra del Fuego,26713,ESTANCIA RUBY,9420,94
Tierra del Fuego,26728,ESTANCIA SAN JOSE,9420,94
Tierra del Fuego,26731,ESTANCIA SAN JULIO,9420,94
Tierra del Fuego,26735,ESTANCIA SAN JUSTO,9420,94
Tierra del Fuego,26737,ESTANCIA SAN MARTIN,9420,94
Tierra del Fuego,26699,ESTANCIA RIO EWAN,9420,94
Tierra del Fuego,26661,ESTANCIA LOS CERROS,9420,94
Total de localidades: 91
